                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2927,                 2.6493,                 2.8651,                0.00634,                0.75152,                0.00641,                0.00306,                  2.274,                    inf,                 3.7414,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.4461,                 2.7559,                 2.9386,                0.04509,                0.55455,                0.06706,                0.03649,                 1.9714,                 249.32,                 2.8629,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.3071,                 2.9097,                 2.9869,                0.08187,                 0.5697,                0.14304,                0.07973,                 1.8607,                 88.911,                  2.619,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.4644,                 2.6964,                 2.9705,                0.01325,                 0.4697,                0.02299,                0.00932,                 2.2127,                    inf,                  3.414,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.3325,                 2.7013,                 2.9016,                0.01789,                0.50606,                0.02412,                0.01022,                 2.0903,                    inf,                 3.1475,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.2136,                 2.7093,                 2.8639,                0.07673,                0.43182,                0.09343,                0.02916,                 2.0367,                 27.363,                 2.7026,               0.009604,               0.009604,               0.009604
                     42,                  2.303,                 2.6365,                 2.7774,                0.21947,                0.06667,                 0.0757,                0.02761,                 2.2393,                  7.131,                 2.7766,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.2988,                 2.7037,                 2.8694,                0.20867,                    0.1,                0.09362,                0.02587,                 2.2616,                 8.2688,                 2.8096,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.1886,                 2.6629,                 2.8692,                0.13943,                0.29091,                0.08439,                0.01934,                 2.2764,                 8.4101,                 2.8618,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.3289,                 2.6475,                 2.9476,                0.15359,                0.26061,                0.09546,                0.02155,                 2.2943,                 7.5307,                 2.8876,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.3724,                 2.7404,                 2.9998,                0.19463,                0.46667,                0.22578,                0.08164,                 2.0338,                 6.4595,                 2.5244,              0.0095545,              0.0095545,              0.0095545
                     47,                  2.324,                 2.7246,                 2.8816,                0.17347,                   0.25,                0.20604,                0.07471,                 1.9951,                 7.5716,                 2.4434,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.2185,                 2.7354,                 2.7447,                0.13446,                0.66667,                0.21792,                0.07657,                 1.9401,                 16.545,                 2.3373,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.2195,                 2.5355,                  2.882,                0.09788,                0.31061,                0.12195,                0.03921,                 2.0375,                 21.218,                  2.508,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.1224,                 2.5712,                 2.7941,                0.07524,                0.31515,                0.09824,                0.02611,                 2.5601,                 2.9193,                  3.103,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.2312,                 2.5531,                 2.8025,                0.03971,                0.32273,                0.06028,                0.02166,                 2.4291,                 3.0492,                 2.8432,               0.009505,               0.009505,               0.009505
                     52,                 2.2065,                 2.4815,                 2.8134,                0.23408,                0.36102,                0.21719,                 0.0812,                 1.9607,                 5.5227,                 2.4084,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.2018,                 2.5225,                  2.771,                0.12276,                0.58957,                0.19745,                 0.0741,                 1.7973,                 19.852,                 2.3025,              0.0094852,              0.0094852,              0.0094852
                     54,                  2.163,                 2.4878,                 2.7051,                0.05325,                0.47121,                0.07557,                0.03206,                 1.9198,                  34.36,                 2.4257,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.2346,                 2.4443,                 2.7971,                0.44606,                0.19596,                0.13218,                0.05949,                 1.9147,                 9.7586,                 2.3084,              0.0094654,              0.0094654,              0.0094654
                     56,                 2.1249,                 2.5615,                 2.7189,                0.42763,                0.36061,                0.17452,                0.07538,                 2.0257,                 8.3515,                 2.3874,              0.0094555,              0.0094555,              0.0094555
                     57,                 2.1757,                 2.5401,                 2.6772,                0.04454,                 0.8197,                0.16737,                0.06944,                 1.9533,                 49.836,                 2.5588,              0.0094456,              0.0094456,              0.0094456
                     58,                 2.1117,                 2.4641,                 2.6852,                0.07569,                0.54242,                 0.1798,                0.05748,                 2.1043,                 72.236,                 2.9028,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.0955,                 2.4528,                 2.6838,                0.75817,                0.23333,                0.12538,                0.04317,                 2.2307,                 79.738,                 3.1634,              0.0094258,              0.0094258,              0.0094258
                     60,                 2.1304,                 2.4126,                    2.7,                0.80556,                0.16667,                0.16761,                 0.0604,                 2.2513,                 90.345,                 3.1412,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.1748,                 2.4488,                 2.7811,                0.37943,                0.56667,                0.23553,                 0.0978,                 2.1109,                 58.888,                 2.8209,               0.009406,               0.009406,               0.009406
