                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7727,                  4.466,                 4.2356,                0.00047,                 0.1475,                0.00031,                  4e-05,                 2.2791,                 3.7761,                 4.1585,                 0.0982,                 0.0002,                 0.0002
                      2,                 2.6843,                 4.4654,                 4.1661,                0.00108,                0.38333,                0.00095,                0.00041,                 2.0848,                 3.7713,                 4.0203,               0.095499,             0.00049917,             0.00049917
                      3,                 2.7916,                  4.332,                 3.9344,                0.00149,                0.46508,                0.00148,                0.00054,                  1.948,                  3.537,                 3.6609,               0.092797,             0.00079736,             0.00079736
                      4,                 2.5605,                 4.1796,                 3.6181,                0.00133,                0.38518,                0.00144,                0.00039,                 1.9435,                 3.5705,                 3.5348,               0.090095,              0.0010946,              0.0010946
                      5,                 2.6029,                 4.3272,                 3.5912,                0.00101,                0.27745,                0.00086,                 0.0002,                 1.9288,                 3.6226,                 3.3176,               0.087391,              0.0013908,              0.0013908
                      6,                 2.6132,                 3.6421,                 3.4033,                0.00101,                0.27745,                0.00086,                 0.0002,                 1.9325,                 3.6779,                 3.0669,               0.084686,               0.001686,               0.001686
                      7,                 2.6089,                 3.6848,                 3.3451,                 0.0016,                0.60392,                0.12821,                0.02754,                 1.9148,                   3.91,                 2.7231,                0.08198,              0.0019802,              0.0019802
                      8,                 2.4676,                 3.5915,                 3.2499,                0.00036,                0.33333,                0.00051,                0.00031,                 2.0663,                 3.9561,                 3.0223,               0.079273,              0.0022734,              0.0022734
                      9,                 2.6167,                 3.3385,                 3.3677,                0.00036,                0.33333,                0.00051,                0.00031,                      0,                      0,                      0,               0.076566,              0.0025657,              0.0025657
                     10,                  2.439,                 3.1607,                 3.2098,                0.00036,                0.33333,                0.00051,                0.00031,                 6.0364,                    inf,                 3325.8,               0.073857,              0.0028569,              0.0028569
                     11,                 2.3662,                 2.8072,                 3.1407,                0.00036,                0.33333,                0.00051,                0.00031,                    nan,                    nan,                    nan,               0.071147,              0.0031472,              0.0031472
                     12,                 2.4214,                 2.7532,                 3.1512,                0.00027,                0.04314,                0.00011,                  1e-05,                    nan,                    nan,                    nan,               0.068436,              0.0034365,              0.0034365
                     13,                 2.4676,                 2.6877,                 3.1415,                0.00027,                0.04314,                0.00011,                  1e-05,                    nan,                    nan,                    nan,               0.065725,              0.0037248,              0.0037248
                     14,                 2.4346,                 2.6835,                 3.0741,                0.00222,                 0.0348,                0.00146,                0.00018,                 5.5268,                    inf,                 3423.7,               0.063012,              0.0040121,              0.0040121
                     15,                 2.4004,                 2.6665,                 3.0706,                0.00035,                0.03333,                0.00021,                  3e-05,                 5.8089,                    inf,                   1151,               0.060298,              0.0042984,              0.0042984
                     16,                 2.3011,                 2.4829,                 3.0055,                0.00035,                0.03333,                0.00021,                  3e-05,                      0,                  15600,                      0,               0.057584,              0.0045837,              0.0045837
                     17,                 2.2746,                 2.4488,                 3.0195,                0.00035,                0.03333,                0.00021,                  3e-05,                      0,                 36.363,                      0,               0.054868,               0.004868,               0.004868
                     18,                 2.2569,                   2.49,                 2.9697,                0.00035,                0.03333,                0.00021,                  3e-05,                      0,                   9439,                      0,               0.052151,              0.0051513,              0.0051513
                     19,                 2.3229,                 2.4307,                 2.9744,                0.00035,                0.03333,                0.00021,                  3e-05,                      0,                    inf,                      0,               0.049434,              0.0054337,              0.0054337
                     20,                 2.4348,                 2.4393,                 3.0442,                0.00035,                0.03333,                0.00021,                  3e-05,                      0,                   4080,                      0,               0.046715,               0.005715,               0.005715
                     21,                 2.3509,                 2.2693,                 3.0369,                0.00035,                0.03333,                0.00021,                  3e-05,                      0,                  16244,                      0,               0.043995,              0.0059954,              0.0059954
                     22,                 2.2812,                 2.3291,                 2.8659,                0.01533,                0.04167,                0.01273,                0.00161,                 3.7294,                 35.903,                 4.6824,               0.041275,              0.0062748,              0.0062748
                     23,                 2.2764,                  2.371,                 2.9201,                0.01278,                  0.025,                0.00435,                0.00148,                 3.8584,                  27.98,                 4.5689,               0.038553,              0.0065532,              0.0065532
                     24,                   2.28,                 2.3723,                 2.8164,                0.01278,                  0.025,                0.00435,                0.00148,                 5.0337,                 25.806,                 5.0314,               0.035831,              0.0068306,              0.0068306
                     25,                 2.2014,                 2.3669,                  2.824,                0.01039,                0.01667,                0.00204,                0.00064,                 4.4889,                 7.1354,                 4.8616,               0.033107,               0.007107,               0.007107
                     26,                 2.1377,                 2.2244,                 2.8066,                0.00151,                0.00833,                0.00072,                0.00021,                 3.3636,                  9.494,                 4.7546,               0.030382,              0.0073824,              0.0073824
                     27,                 2.2648,                 2.2569,                 2.8277,                0.01529,                0.10595,                0.00465,                0.00161,                 3.6073,                 9.7743,                 12.216,               0.027657,              0.0076568,              0.0076568
                     28,                 2.1887,                 2.2404,                 2.7517,                0.00037,                0.08016,                0.00022,                  3e-05,                 4.4128,                 94.023,                 23.123,                0.02493,              0.0079302,              0.0079302
                     29,                  2.207,                 2.3404,                 2.7889,                0.00111,                0.17857,                 0.0008,                0.00017,                 4.2684,                 62.633,                 14.912,               0.022203,              0.0082027,              0.0082027
                     30,                 2.1494,                 2.3157,                 2.7516,                 0.0231,                0.23441,                0.03479,                0.01274,                 2.4916,                 137.08,                 3.3473,               0.019474,              0.0084741,              0.0084741
                     31,                 2.1403,                 2.2574,                 2.7345,                0.02403,                0.48674,                0.02379,                0.00782,                 2.4092,                    inf,                 3.4092,               0.016745,              0.0087446,              0.0087446
                     32,                 2.1075,                 2.2597,                 2.7928,                0.01768,                0.88266,                0.02252,                0.01006,                 2.0421,                    inf,                 3.4406,               0.014014,              0.0090141,              0.0090141
                     33,                 2.1266,                 2.4423,                 2.7345,                0.01877,                0.85238,                0.02232,                0.01079,                 1.9215,                    inf,                  3.487,               0.011283,              0.0092826,              0.0092826
                     34,                 2.0921,                 2.4332,                 2.7317,                0.02466,                0.59524,                0.03169,                0.01444,                 2.1672,                    inf,                 3.6142,              0.0094555,              0.0094555,              0.0094555
                     35,                 2.0419,                 2.3862,                 2.7591,                0.03437,                0.49008,                0.03923,                0.02014,                 2.1076,                    inf,                 3.4576,               0.009439,               0.009439,               0.009439
                     36,                 2.1516,                 2.3647,                 2.7345,                0.10028,                0.78968,                0.11257,                0.06043,                 2.0351,                 182.56,                  3.572,              0.0094225,              0.0094225,              0.0094225
                     37,                 2.0613,                 2.2238,                 2.5473,                0.06619,                0.83968,                0.07501,                0.03742,                 1.8797,                    inf,                 3.5512,               0.009406,               0.009406,               0.009406
                     38,                 1.9491,                 2.2252,                  2.593,                0.02248,                  0.975,                0.03547,                0.01513,                 2.0775,                    inf,                 3.6207,              0.0093895,              0.0093895,              0.0093895
                     39,                 2.1244,                 2.1342,                 2.6323,                0.00881,                0.95012,                0.01161,                0.00454,                 2.1827,                    inf,                 6.4932,               0.009373,               0.009373,               0.009373
                     40,                 2.0055,                  2.125,                  2.627,                0.00488,                0.91071,                0.00666,                0.00316,                 2.2811,                    inf,                 11.637,              0.0093565,              0.0093565,              0.0093565
                     41,                 1.9818,                 2.1369,                 2.6223,                0.01161,                0.75714,                0.01272,                 0.0056,                 2.3163,                    inf,                 9.2861,                0.00934,                0.00934,                0.00934
                     42,                 2.0378,                 2.2279,                 2.5726,                0.67092,                0.33333,                0.00713,                0.00322,                 2.7938,                    inf,                 6.7997,              0.0093235,              0.0093235,              0.0093235
                     43,                 2.0489,                 2.2352,                 2.5332,                0.68504,                0.20588,                 0.0283,                0.00793,                 2.6523,                 62.197,                 5.5439,               0.009307,               0.009307,               0.009307
                     44,                 1.9781,                  2.266,                  2.448,                0.02526,                0.49041,                0.03101,                0.01229,                 2.1842,                 74.689,                 3.2791,              0.0092905,              0.0092905,              0.0092905
                     45,                 1.8664,                 2.2936,                 2.4742,                0.08228,                0.20595,                0.05952,                0.02767,                 2.1603,                 45.272,                  3.033,               0.009274,               0.009274,               0.009274
                     46,                 1.9448,                 2.1039,                 2.4789,                0.07785,                0.18175,                0.08212,                0.03537,                 2.5673,                 26.693,                 3.4392,              0.0092575,              0.0092575,              0.0092575
                     47,                 1.9351,                 2.1069,                 2.4463,                0.07283,                0.20357,                 0.0478,                0.02193,                 2.9218,                 8.0875,                 3.9651,               0.009241,               0.009241,               0.009241
                     48,                 1.9918,                 2.0283,                 2.4492,                0.00016,                0.00833,                  8e-05,                  1e-05,                 3.6338,                 6.4191,                  4.633,              0.0092245,              0.0092245,              0.0092245
                     49,                 1.9465,                  2.093,                   2.43,                0.00077,                0.04921,                 0.0005,                0.00017,                 3.1403,                 6.2672,                  4.161,               0.009208,               0.009208,               0.009208
                     50,                 1.9258,                 2.1317,                 2.4976,                0.25759,                0.27698,                0.18958,                0.06385,                 2.8494,                 6.8596,                 3.5061,              0.0091915,              0.0091915,              0.0091915
                     51,                 1.9031,                 2.0794,                 2.4257,                0.15293,                0.13333,                0.11719,                 0.0464,                 2.9927,                 5.0018,                 3.5509,               0.009175,               0.009175,               0.009175
                     52,                 1.8488,                  1.995,                 2.3163,                0.18441,                0.16587,                0.16395,                0.08363,                 2.2297,                 45.605,                 3.2643,              0.0091585,              0.0091585,              0.0091585
                     53,                 1.7799,                 1.8434,                 2.3483,                0.10316,                0.25754,                 0.1923,                0.10677,                 2.3604,                  25.26,                 3.0218,               0.009142,               0.009142,               0.009142
                     54,                 1.8279,                 1.8634,                 2.3891,                 0.1182,                0.29087,                0.19395,                0.10802,                 2.3771,                 12.392,                 2.9484,              0.0091255,              0.0091255,              0.0091255
                     55,                 1.8661,                 1.8906,                  2.381,                0.10437,                0.51774,                 0.1889,                 0.0936,                 1.9784,                 20.871,                 2.6908,               0.009109,               0.009109,               0.009109
                     56,                 1.8207,                 1.8579,                 2.2855,                0.29189,                0.91746,                0.60809,                0.23586,                 1.8079,                  20.29,                 2.4514,              0.0090925,              0.0090925,              0.0090925
                     57,                 1.8849,                 1.8457,                 2.4014,                0.24532,                0.78294,                0.36821,                0.19046,                  1.618,                  16.63,                 2.2217,               0.009076,               0.009076,               0.009076
                     58,                 1.8296,                  1.888,                  2.269,                0.37197,                0.92432,                0.57292,                0.31122,                  1.623,                 31.739,                 2.3394,              0.0090595,              0.0090595,              0.0090595
                     59,                 1.7959,                 1.9263,                  2.235,                0.69942,                0.14167,                0.02496,                0.00893,                 2.1631,                 69.856,                 3.5053,               0.009043,               0.009043,               0.009043
                     60,                 1.8771,                 2.0622,                 2.2856,                0.69516,                0.08333,                0.02806,                0.01145,                 2.1513,                 49.468,                 3.4423,              0.0090265,              0.0090265,              0.0090265
                     61,                 1.8006,                 1.9194,                 2.2629,                0.29972,                0.66695,                0.44644,                0.20547,                 1.8471,                 16.915,                 2.8244,                0.00901,                0.00901,                0.00901
                     62,                 1.7745,                 1.9176,                 2.2463,                0.12204,                  0.375,                0.10892,                0.06218,                 1.9653,                 6.8907,                 2.5247,              0.0089935,              0.0089935,              0.0089935
                     63,                 1.7525,                  1.777,                  2.158,                0.01096,                 0.3402,                0.01691,                0.00782,                 2.1813,                 13.219,                 2.7908,               0.008977,               0.008977,               0.008977
                     64,                 1.8292,                 1.9701,                 2.2191,                0.00117,                0.00833,                0.00061,                  6e-05,                 3.8145,                 6.2701,                 5.2744,              0.0089605,              0.0089605,              0.0089605
                     65,                 1.7411,                 1.7236,                 2.0818,                0.00488,                0.01667,                0.00321,                0.00095,                 3.4883,                 5.9351,                  5.085,               0.008944,               0.008944,               0.008944
                     66,                 1.6522,                 1.7612,                 2.1057,                0.28808,                0.36706,                0.25468,                0.08144,                 2.9899,                  4.717,                  4.689,              0.0089275,              0.0089275,              0.0089275
                     67,                 1.5927,                 1.6728,                 2.0694,                0.09999,                0.04167,                0.04057,                 0.0072,                 3.5075,                 5.7594,                 5.4849,               0.008911,               0.008911,               0.008911
                     68,                 1.7141,                 1.6904,                 2.1706,                0.01446,                  0.125,                 0.0096,                0.00225,                 3.4307,                 7.2671,                  4.989,              0.0088945,              0.0088945,              0.0088945
                     69,                 1.6214,                 1.6707,                   2.05,                0.10651,                0.30952,                0.06874,                0.01912,                 2.6004,                 6.0499,                 3.9219,               0.008878,               0.008878,               0.008878
                     70,                 1.6197,                 1.5965,                 1.9989,                0.09962,                0.24412,                0.13669,                0.06312,                 2.0822,                 4.5951,                 2.8366,              0.0088615,              0.0088615,              0.0088615
                     71,                 1.7531,                 1.7246,                 2.0563,                0.21203,                0.25607,                0.07979,                0.02148,                 2.4972,                  5.045,                 3.2003,               0.008845,               0.008845,               0.008845
                     72,                 1.5996,                 1.5737,                 1.9811,                0.03768,                0.01667,                0.00409,                0.00046,                 4.3431,                 5.9639,                 7.1982,              0.0088285,              0.0088285,              0.0088285
                     73,                 1.5733,                 1.4753,                 1.9958,                0.54729,                  0.075,                0.07771,                 0.0227,                 3.1963,                 6.0388,                 5.2145,               0.008812,               0.008812,               0.008812
                     74,                 1.5102,                 1.4571,                 1.9001,                0.50947,                0.74458,                0.74782,                0.37985,                 1.6315,                 5.3904,                 2.4173,              0.0087955,              0.0087955,              0.0087955
